original,translate
Petit-Déjeuners,Colazione
Matières Grasses,Grasso
Produits À Tartiner,Prodotti spalmabili
Produits À Tartiner Sucrés,Spalmature dolci
Pâtes À Tartiner,Spread
Pâtes À Tartiner Aux Noisettes,Crema di nocciole
Pâtes À Tartiner Au Chocolat,Creme al cioccolato
Pâtes À Tartiner Aux Noisettes Et Au Cacao,Spalmabili alla nocciola e al cacao
Boissons,Bevande
Boissons Gazeuses,Bevande analcoliche
Sodas,Soda
Boissons Gazeuses Sans Jus De Fruit,Bevande analcoliche senza succo
Sodas Au Cola,Soda Au Cola
Boissons Gazeuses Sucrées Sans Jus De Fruit,Niente bevande analcoliche dolcificate con succo di frutta
Boissons Avec Sucre Ajouté,Bevande con zucchero aggiunto
Snacks,Spuntini
Snacks Sucrés,Spuntini dolci
Cacao Et Dérivés,Cacao e derivati del cacao
Chocolats,Chocolats
Chocolats Noirs,Cioccolatini fondenti
Chocolats Noirs En Tablette,Barrette di cioccolato fondente
Chocolat Noir En Tablette Extra Dégustation À 70% De Cacao Minimum,Tavoletta di cioccolato fondente extra degustazione 70% cacao minimo
Aliments Et Boissons À Base De Végétaux,Alimenti e bevande a base vegetale
Aliments D'Origine Végétale,Alimenti di origine vegetale
Pâtes À Tartiner Végétales,Spalmati di verdure
Céréales Et Pommes De Terre,Cereali e patate
Pains,Pane
Pains Croustillants,I dolcetti crostanti
Imbiss,Snack bar
Süßer Snack,Merenda dolce
Kakao Und Kakaoprodukte,Cacao e prodotti del cacao
Schokoladen,Schokoladen
Bitterschokoladen,Cioccolato fondente
Plant-Based Foods And Beverages,Alimenti e bevande a base vegetale
Plant-Based Foods,Alimenti a base vegetale
Nuts And Their Products,Noci e loro prodotti
Nuts,Noci
Cashew Nuts,Anacardi
Salty Snacks,Snack salati
Appetizers,Antipasti
Crackers,Crackers
Shelled Nuts,Noci sgusciate
Walnuts,Noci
Walnut Kernels,Gherigli di noce
Biscuits Et Gâteaux,Biscotti e torte
Biscuits,Biscotti
Biscuits Fourrés,Biscotti ripieni
Aliments À Base De Fruits Et De Légumes,Alimenti a base di frutta e verdura
Céréales Et Dérivés,Cereali e derivati
Fruits Et Produits Dérivés,Frutta e derivati
Céréales Pour Petit-Déjeuner,Cereali per la prima colazione
Mueslis,Mueslis
Céréales Aux Fruits À Coques,Cereali con noci
Pépites De Céréales Croustillantes,Pepite croccanti di cereali
Pépites De Céréales Aux Fruits À Coques,Pepite di cereali con noci
Fruits À Coques Et Dérivés,Frutta a guscio e derivati
Produits Déshydratés,Prodotti disidratati
Fruits À Coques,Noci
Aliments À Base De Plantes Séchées,Cibo secco per piante
Fruits Secs,Frutta Secs
En:Nuts And Dried Fruits,Noci e frutta secca
Mélanges De Fruits Secs,Miscele di frutta secca
Tartines Craquantes Extrudées,Toast croccante estruso
Sweet Snacks,Spuntini dolci
Cocoa And Its Products,Il cacao e i suoi prodotti
Chocolates,Cioccolatini
Dark Chocolates,Cioccolatini fondenti
Plantaardige Levensmiddelen En Dranken,Alimenti e bevande a base vegetale
Plantaardige Levensmiddelen,Alimenti a base vegetale
Ontbijten,Colazione
Granen En Aardappels,Cereali e patate
Granen En Graanproducten,Cereali e prodotti a base di cereali
Ontbijtgranen,Cereali per la colazione
Vlokken,Fiocchi
Ontbijtvlokken,Fiocchi per la colazione
En:Rolled Flakes,Fiocchi arrotolati
Havermoutvlokken,Fiocchi d'avena
Beverages,Bevande
Cereals And Potatoes,Cereali e patate
Dairy Substitutes,Sostituti del latte
Cereals And Their Products,Cereali e loro prodotti
Milk Substitutes,Sostituti del latte
Plant-Based Beverages,Bevande a base vegetale
Plant-Based Milk Alternatives,Alternative al latte a base vegetale
Cereal-Based Drinks,Bevande a base di cereali
Oat-Based Drinks,Bevande a base di avena
Dark Chocolate Bar With More Than 70% Cocoa,Tavoletta di cioccolato fondente con oltre il 70% di cacao
Extra Fine Dark Chocolates,Cioccolatini fondenti extra fini
Napoje,Bevande
Napoje Gazowane,Bevande gassate
En:Sodas,Soda
Napoje Bezalkoholowe,Bevande analcoliche
Cola,Cola
Napoje Słodzone,Bevande zuccherate
Pt:Refrigerante De Extratos Vegetais,Estratto vegetale di soda
Pt:Refrigerantes,Bevande analcoliche
Conserves,Conserve
Légumes Et Dérivés,Verdure e derivati
Aliments À Base De Plantes En Conserve,Cibi vegetali in scatola
Légumes,Verdure
Légumes En Conserve,Verdure in scatola
Tomates Et Dérivés,Pomodori e derivati
Tomates,Pomodori
Tomates En Conserve,Pomodori in scatola
Pulpes De Tomates,Polpa di pomodoro
Snacks Salés,Snack salati
Amuse-Gueules,Gueules divertenti
Chips Et Frites,Patatine e frittelle
Chips,Patatine
Tuiles Salées,Piastrelle salate
Céréales Aux Fruits,Cereali alla frutta
Mueslis Aux Fruits,Mueslis ai frutti
Desserts,Dolci
Schokoladendesserts,Dessert al cioccolato
Produits Fermentés,Prodotti fermentati
Substituts De Produits Laitiers,Sostituti dei prodotti lattiero-caseari
Desserts Végétaliens,Dessert vegani
Produits Végétaux Fermentés,Prodotti vegetali fermentati
Desserts Végétaliens Fermentés,Dolci vegani fermentati
Desserts De Jus De Soja Fermenté,Dessert al succo di soia fermentato
Cacaos Et Chocolats En Poudre,Polveri di cacao e cioccolato
Boissons Instantanées,Bevande istantanee
Cacaos En Poudre,Cacao in polvere
Chocolats En Poudre,Cioccolatini in polvere
Poudre Maltée Cacaotée,Malto di cacao in polvere
Fruits And Vegetables Based Foods,Alimenti a base di frutta e verdura
Fruits Based Foods,Alimenti a base di frutta
Dried Products,Prodotti essiccati
Dried Plant-Based Foods,Alimenti vegetali essiccati
Dried Fruits,Frutta secca
Dried Mixed Fruits,Frutta secca mista
Fr:Oleagin,Oleagin
En:Petit-Déjeuners,Colazione
En:Produits À Tartiner,Prodotti spalmabili
En:Produits À Tartiner Sucrés,Spalmature dolci
En:Pâtes À Tartiner,Diffusione
En:Pâtes À Tartiner Au Chocolat,Creme al cioccolato
En:Pâtes À Tartiner Aux Noisettes,Crema di nocciole
En:Pâtes À Tartiner Aux Noisettes Et Au Cacao,Spalmabili alla nocciola e al cacao
Confiseries,Pasticceria
Biscuits Au Chocolat,Biscotti al cioccolato
Gaufrettes,Cialde
Gaufrettes Fourrées,Cialde ripiene
Gaufrettes Fourrées Au Chocolat,Cialde ripiene di cioccolato
Breakfasts,Colazione
Breakfast Cereals,Cereali per la prima colazione
Flakes,Fiocchi
Cereal Flakes,Fiocchi di cereali
Extruded Cereals,Cereali estrusi
Extruded Flakes,Fiocchi estrusi
Corn Flakes,Corn Flakes
Pflanzliche Lebensmittel Und Getränke,Alimenti e bevande a base vegetale
Getränke,Bevande
Pflanzliche Lebensmittel,Alimenti a base vegetale
En:Dairy Substitutes,Sostituti del latte
Milchersatz,Sostituto del latte
Nüsse Und Nussprodukte,Noci e prodotti a base di noci
Pflanzliche Getränke,Bevande vegetali
Pflanzenmilch,Latte vegetale
Nussmilch,Latte di noci
Mandelmilch,Latte di mandorla
Condiments,Condimenti
Sauces,Salse
Soy Sauces,Salse di soia
Pâtes Alimentaires,Pasta
Pâtes Alimentaires De Céréales,Pasta ai cereali
Pâtes Sèches,Pasta secca
Pâtes De Blé Dur,Pasta di grano duro
Spaghetti,Spaghetti
Spaghettis De Blé Dur,Spaghettis De Blé Dur
Frühstücke,Colazione
Fr:Boissons Au Lait Végétales,Bevande al latte a base vegetale
Unsweetened Beverages,Bevande non zuccherate
Chocolate Cereals,Cereali al cioccolato
Crunchy Cereal Clusters,Cluster croccanti di cereali
Cereal Clusters With Chocolate,Cluster di cereali con cioccolato
Édulcorants,Gli abitanti del luogo
Sirops,Sirops
Sirops Simples,Sirops Simples
Sirops D'Érable,Sciroppi d'acero
Sirops D'Érable Ambrés,Sciroppi d'acero ambrati
Cola Sucré,Cola dolce
Pl:Gazowane,Gassata
Biscuits And Cakes,Biscotti e torte
Chocolate Biscuits,Biscotti al cioccolato
Wafers,Cialde
Oatmeal Cookies,Biscotti d'avena
Biscuits Secs,Biscotti Secs
Biscuits Sablés,Biscotti di pasta frolla
Biscuit Sec Au Beurre,Biscotto al burro secco
Sablés Au Beurre,Pasta frolla al burro
Carbonated Drinks,Bevande gassate
Fruit-Based Beverages,Bevande a base di frutta
